map,condition,label,seed,coverage_percent,qd_score,raw_qd_score,max_fitness,occupancy_entropy,mean_pairwise_descriptor_euclidean,mean_pairwise_descriptor_knn_geodesic,elapsed_seconds,evaluations_per_second,pairwise_geodesic_k,total_evaluations
horseshoe,baseline_a_handcrafted_map_elites,Baseline A: hand-crafted BD,1001,98.24000000000001,14061.436999999969,10991.436999999969,29.09999999999989,0.9972417821383361,1.0451162084162224,1.0572657307895648,1039.3878189,19.24209581479058,20,20000
horseshoe,baseline_a_handcrafted_map_elites,Baseline A: hand-crafted BD,1002,98.24000000000001,13472.067999999967,10402.067999999967,27.86499999999986,0.9972417821383361,1.044467373842255,1.0562101059441087,1085.4304596000002,18.425869500078655,20,20000
horseshoe,baseline_a_handcrafted_map_elites,Baseline A: hand-crafted BD,1003,98.24000000000001,16433.487999999965,13363.487999999965,33.95999999999993,0.9972417821383361,1.0445511491267927,1.0565872476172495,1097.9484699999998,18.2157911290682,20,20000
horseshoe,baseline_a_handcrafted_map_elites,Baseline A: hand-crafted BD,1004,98.24000000000001,13669.88699999996,10599.88699999996,28.829999999999874,0.9972417821383361,1.046594145147127,1.0582161017373992,1082.8520648000003,18.4697436059227,20,20000
horseshoe,baseline_a_handcrafted_map_elites,Baseline A: hand-crafted BD,1005,98.24000000000001,17781.46999999998,14711.469999999976,37.29500000000001,0.9972417821383361,1.0465628096255495,1.0583396457170127,1047.1107370999998,19.100176601560324,20,20000
horseshoe,baseline_b_learned_bd_euclidean,Baseline B: learned BD Euclidean,1001,42.24,5406.37299999999,4086.3729999999905,28.904999999999877,0.8661329927777857,16.4447542015096,16.59062432086169,1043.7825773000004,19.161078595251997,20,20000
horseshoe,baseline_b_learned_bd_euclidean,Baseline B: learned BD Euclidean,1002,43.519999999999996,5780.06699999999,4420.06699999999,32.59999999999995,0.8707701650040401,22.140593953745817,22.339948102990583,1062.9339889000003,18.815843889513236,20,20000
horseshoe,baseline_b_learned_bd_euclidean,Baseline B: learned BD Euclidean,1003,38.4,5033.66499999999,3833.66499999999,28.979999999999976,0.8513281066948895,16.46486677896307,16.6249919488709,1062.8887165999995,18.816645324805595,20,20000
horseshoe,baseline_b_learned_bd_euclidean,Baseline B: learned BD Euclidean,1004,49.28,6470.367999999986,4930.367999999986,32.54499999999994,0.8900777934184829,18.27918737708726,18.430168781147326,1059.8001356000004,18.871482771303008,20,20000
horseshoe,baseline_b_learned_bd_euclidean,Baseline B: learned BD Euclidean,1005,24.16,3185.337999999996,2430.337999999996,29.41999999999998,0.7793528097686653,28.21300088418465,28.43877503059519,991.0042558999994,20.18154804172523,20,20000
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1001,30.72,4450.310999999991,3490.3109999999906,30.63499999999995,0.8166663857315859,20.990144539071395,21.17310239911723,1026.8396910000001,19.477236977977313,20,20000
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1002,33.28,4292.190999999992,3252.1909999999916,31.094999999999935,0.8290997183651636,22.28665512266376,22.483133390978786,1015.8343672999999,19.68824903331266,20,20000
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1003,33.92,4624.10399999999,3564.1039999999903,31.539999999999957,0.8320585456090624,23.526442629068445,23.787752349544267,988.9688094000012,20.223084701866206,20,20000
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,28.32,3536.1549999999934,2651.1549999999925,26.91499999999999,0.8040306638398781,24.174058480370167,24.36650865237578,951.7533726000001,21.013847258942718,20,20000
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1005,30.72,3793.243999999994,2833.243999999994,29.07999999999992,0.8166663857315859,22.899543538523286,23.103423470238518,939.0488602000005,21.298146292132618,20,20000
open,baseline_a_handcrafted_map_elites,Baseline A: hand-crafted BD,1001,98.72,17323.746999999967,14238.746999999965,31.414999999999967,0.9979988936305829,1.0450003904216163,1.0550402100627152,999.0203748,20.019611716131337,20,20000
open,baseline_a_handcrafted_map_elites,Baseline A: hand-crafted BD,1002,98.72,18206.365999999965,15121.365999999965,32.149999999999984,0.9979988936305829,1.0447223320275247,1.0541037470592465,939.6548063999999,21.284411960413298,20,20000
open,baseline_a_handcrafted_map_elites,Baseline A: hand-crafted BD,1003,98.72,16563.875999999967,13478.875999999966,29.604999999999983,0.9979988936305829,1.0438261925421408,1.0533515826356064,929.6952370999998,21.512426010039636,20,20000
open,baseline_b_learned_bd_euclidean,Baseline B: learned BD Euclidean,1001,44.32,6668.878999999992,5283.878999999992,33.074999999999896,0.8735996372922553,20.056991790470086,20.228955809813804,914.7737822000004,21.86332882420468,20,20000
open,baseline_b_learned_bd_euclidean,Baseline B: learned BD Euclidean,1002,41.28,5644.662999999993,4354.662999999993,33.025000000000006,0.8625619450773606,19.950477409540028,20.11291012286861,898.6083171999999,22.25663797806656,20,20000
open,baseline_b_learned_bd_euclidean,Baseline B: learned BD Euclidean,1003,45.6,7010.135999999991,5585.135999999991,34.67999999999999,0.878022248730284,20.146506431715135,20.327294894066917,923.9582299000003,21.646000168389207,20,20000
open,contribution_geodesic_niching,Contribution: geodesic niching,1001,42.24,6189.024999999993,4869.024999999993,31.684999999999942,0.8661329927777857,17.001114284508883,17.153662601959848,919.7711442999989,21.74453952371076,20,20000
open,contribution_geodesic_niching,Contribution: geodesic niching,1002,31.36,5190.896999999994,4210.896999999993,33.72999999999993,0.8198692565977803,25.835785405514102,26.089257111930298,907.1017267999996,22.048243773666254,20,20000
open,contribution_geodesic_niching,Contribution: geodesic niching,1003,31.680000000000003,4651.630999999994,3661.630999999994,32.96499999999989,0.8214462623625854,19.085162105568173,19.280477228587127,839.8563161999991,23.813597176349987,20,20000
